"Uniprot"	"ProteinNames"	"Symbol"	"LFQ.intensity.AROM_Rep1"	"LFQ.intensity.AROM_Rep2"	"LFQ.intensity.AROM_Rep3"	"LFQ.intensity.WT_Rep1"	"LFQ.intensity.WT_Rep2"	"LFQ.intensity.WT_Rep3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
"A2AKX3"	"Probable helicase senataxin"	"Setx"	8815300	0	0	7241600	0	0	-0.35963117812272	-0.515470264506448	-0.626490951047039	0.633404650656055	0.552744204757818	0.405255785789509	0.371069245691322	4	2.37770806225332	0.0975256303366687	0.730127481644497	0.494283741641201	"Not Significant"	"Not Significant"	0.257475802082391	0.198318752225795
"A2AN08"	"E3 ubiquitin-protein ligase UBR4"	"Ubr4"	103580000	99202000	83255000	150890000	140170000	116540000	-0.508901540732823	-3.46509279011039	-2.61863790683507	0.0256982025370351	0.0374894983145417	0.0622902811814959	0.0658577781352238	4	2.37770806225332	0.0975256303366687	0.0323540798328386	0.0566510403631639	"Not Significant"	"Not Significant"	1.42609037127981	1.59009725237092
"A2ARZ3"	"Fibrous sheath-interacting protein 2"	"Fsip2"	20385000	3941800	6167400	103290000	56519000	18447000	-2.58786069013811	-2.54892813064364	-3.15985502688228	0.0633774295616553	0.0180267509760505	0.0947483323346077	0.0417676883868202	4	2.37770806225332	0.0975256303366687	1.54617221891695	1.00609439795032	"Not Significant"	"Significant"	1.74408254062773	1.19806537874349
"A2ATU0"	"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	"Dhtkd1"	0	5600700	5916800	0	8688900	0	-0.461032051779783	-2.10524135346016	-1.9781553364626	0.103042000185474	0.092430421958566	0.127092339550586	0.114922812840575	4	2.37770806225332	0.0975256303366687	0.0719365678041742	0.0814765655110495	"Not Significant"	"Not Significant"	1.03418506434024	0.986985719655428
"A2AU72"	"Armadillo repeat-containing protein 3"	"Armc3"	9901600	0	8061900	15975000	25173000	16998000	-0.717288464523444	-1.66263346327699	-1.91041774577153	0.171720100536038	0.101769248148092	0.178183810262191	0.123398499741354	4	2.37770806225332	0.0975256303366687	0.279181038123405	0.211457096633704	"Not Significant"	"Not Significant"	0.992383433956028	0.765178865928484
"A2AWA9"	"Rab GTPase-activating protein 1"	"Rabgap1"	0	8283100	0	0	7198100	7197600	-0.0103383618879734	-0.0193672567979769	-0.0229483689169093	0.985475692364247	0.982392743097329	0.512400786355415	0.51079641626745	4	2.37770806225332	0.0975256303366687	0.42742359967062	0.304432541793757	"Not Significant"	"Not Significant"	0.00771485431001907	0.00635408351266529
"A2AX52"	"Collagen alpha-4(VI) chain"	"Col6a4"	161090000	65225000	193830000	56159000	10051000	0	2.81884538667789	2.95215770511012	3.65112560438304	0.0418794241759833	0.00960659836147588	0.0762105947037175	0.0302679589483852	4	2.37770806225332	0.0975256303366687	1.36758605047026	0.894087911166353	"Significant"	"Significant"	2.01743036616739	1.37799929831393
"A2BIM8"	"Major urinary protein 6;Major urinary proteins 11 and 8;Major urinary protein 1;Major urinary protein 17"	"Mup18"	51919000	117470000	124770000	80787000	45669000	125220000	0.239983593436037	0.409244640503984	0.489955593921425	0.703325401731855	0.640564726006436	0.430697195458026	0.40549460813538	4	2.37770806225332	0.0975256303366687	0.515808342488295	0.359866087484431	"Not Significant"	"Not Significant"	0.193436980318694	0.152843697057293
"A2RSQ1"	"Beta-galactosidase-1-like protein 3"	"Glb1l3"	22822000	14525000	26435000	2.8e+07	37257000	29704000	-0.607394280113197	-2.10395965641629	-2.19588782181917	0.103191112090751	0.067848588274236	0.127112349323022	0.0948508613920471	4	2.37770806225332	0.0975256303366687	0.125013766131215	0.114765764583161	"Not Significant"	"Not Significant"	1.16845918427672	0.986357707129045
"A3KGV1"	"Outer dense fiber protein 2"	"Odf2"	680690000	239870000	540850000	1293500000	1034300000	726560000	-1.15346456906797	-2.23220699849672	-2.63441076113361	0.0893915897791138	0.0366798015520905	0.117039294161131	0.0651230618689983	4	2.37770806225332	0.0975256303366687	0.400526122220783	0.287562859339001	"Not Significant"	"Not Significant"	1.43557302264938	1.04870333897071
"A3KMP2"	"Tetratricopeptide repeat protein 38"	"Ttc38"	11901000	19444000	18991000	9426400	13727000	14475000	0.410121733107781	1.35865753308868	1.43758755970496	0.245823707878014	0.197748021446583	0.225937186303709	0.192156823777529	4	2.37770806225332	0.0975256303366687	0.13667743655641	0.122081038541357	"Not Significant"	"Not Significant"	0.703887853110337	0.609376234939854
"A6H584"	"Collagen alpha-5(VI) chain"	"Col6a5"	69899000	1827900000	1623300000	141600000	9810100	174600000	3.24667674230501	1.59087616320194	1.99955331578103	0.186846919879985	0.089661628952015	0.189046283174778	0.113110988495854	4	2.37770806225332	0.0975256303366687	6.24736110775497	3.95460746436812	"Not Significant"	"Not Significant"	1.04739337523551	0.728514056980261
"A6H5Y3"	"Methionine synthase"	"Mtr"	13658000	20059000	18342000	14896000	10302000	11940000	0.485164874152059	2.12839560805665	2.03520058332017	0.100388922285455	0.085232146127455	0.125560171982107	0.109817309608116	4	2.37770806225332	0.0975256303366687	0.077940870476041	0.0852423714170322	"Not Significant"	"Not Significant"	1.06939657597631	0.998314208064811
"A6H5Z3"	"Exocyst complex component 6B"	"Exoc6b"	0	9137000	4723000	0	8113200	7329500	-0.348359288477154	-1.19970511357526	-1.25441814770895	0.296453944193703	0.253704915404363	0.254625308396068	0.226221868921579	4	2.37770806225332	0.0975256303366687	0.126472769480145	0.115680828950918	"Not Significant"	"Not Significant"	0.595671118460921	0.528042767177119
"A6H630"	"Protein-glutamate O-methyltransferase"	"Armt1"	403190000	169150000	231390000	734040000	578400000	498330000	-1.24831270383207	-3.1136792991572	-3.53009466979601	0.0357444021021519	0.0111803965981263	0.0708184447401312	0.0325738075455107	4	2.37770806225332	0.0975256303366687	0.241096153114211	0.187570844934853	"Not Significant"	"Not Significant"	1.95154279060676	1.4467919629959
"A6H6A9"	"Rab GTPase-activating protein 1-like"	"Rabgap1l"	7397200	8246300	0	8708700	9852800	9758300	-0.223316397594658	-2.56018246478155	-1.31110336396398	0.0626259766517265	0.235050119268209	0.0938777337686334	0.215799138967116	4	2.37770806225332	0.0975256303366687	0.0114127590557683	0.0435169673873172	"Not Significant"	"Not Significant"	0.628839524107672	1.20324548825207
"A6H8H2"	"DENN domain-containing protein 4C"	"Dennd4c"	0	0	7038400	0	4659800	0	-0.586841661210334	-1.30994609337287	-1.51465461806636	0.260378220516476	0.177742918905147	0.234019140291746	0.17976112072605	4	2.37770806225332	0.0975256303366687	0.301041442701948	0.225167604775602	"Not Significant"	"Not Significant"	0.750207692098492	0.584395345392216
"A6X935"	"Inter alpha-trypsin inhibitor, heavy chain 4"	"Itih4"	134490000	455180000	368430000	23508000	31450000	82392000	2.84413160503834	3.69209454156584	4.5172496761063	0.0209801786027879	0.00346145654055962	0.0572581648834475	0.0195865965576279	4	2.37770806225332	0.0975256303366687	0.890112724258575	0.594624015013672	"Significant"	"Significant"	2.46074111669262	1.67819081900828
"A7RDN6"	"Renalase"	"Rnls"	140530000	55950000	60010000	201560000	208410000	245520000	-1.48337046596315	-3.40218254253089	-3.91626962343912	0.0272225440097682	0.0069441627809939	0.0634101771635805	0.0260693626698716	4	2.37770806225332	0.0975256303366687	0.285151257641751	0.215201526112175	"Not Significant"	"Not Significant"	2.15838010723554	1.56507129141126
"B1AY13"	"Ubiquitin carboxyl-terminal hydrolase 24"	"Usp24"	46714000	108350000	62105000	29356000	56063000	69231000	0.488023039832029	0.946765938298676	1.11700676830559	0.397368075482497	0.304296926327629	0.307091533245196	0.254772341342896	4	2.37770806225332	0.0975256303366687	0.39855353055338	0.286325680309702	"Not Significant"	"Not Significant"	0.516702434384164	0.400807027006566
"B1AZI6"	"THO complex subunit 2"	"Thoc2"	0	4948500	8718200	0	4478000	0	-0.0307133099835386	-0.0668085295965439	-0.0775650681062416	0.949940140751728	0.940550697116422	0.503354554860412	0.500000290639916	4	2.37770806225332	0.0975256303366687	0.317015632437987	0.235186369874358	"Not Significant"	"Not Significant"	0.0266177903480392	0.022303760353539
"B1AZP2"	"Disks large-associated protein 4"	"Dlgap4"	14799000	0	18619000	19639000	0	0	-0.186727485450216	-0.190561831768442	-0.235922346362669	0.858149672681293	0.820888049106488	0.478785346357764	0.465991361516793	4	2.37770806225332	0.0975256303366687	1.44024348441051	0.939657531619991	"Not Significant"	"Not Significant"	0.0857160669615168	0.0664369588288695
"B2RQC6"	"CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase"	"Cad"	37879000	46132000	43631000	47244000	53785000	41407000	-0.154896684413429	-1.12291591122424	-0.814418745264885	0.324313796619102	0.444744269662754	0.271415404071149	0.326386002605356	4	2.37770806225332	0.0975256303366687	0.0285417784847112	0.0542600238343951	"Not Significant"	"Not Significant"	0.351889638904246	0.489034575631391
"B2RR83"	"Probable ATP-dependent RNA helicase YTHDC2"	"Ythdc2"	14464000	19168000	0	16413000	10838000	13204000	0.30098673982147	1.43126482888471	1.32022174658958	0.225605252651861	0.232164693827712	0.213967020715264	0.213979684492285	4	2.37770806225332	0.0975256303366687	0.0663354968308758	0.0779636602989414	"Not Significant"	"Not Significant"	0.634203824397779	0.646650793114394
"B2RRE7"	"OTU domain-containing protein 4"	"Otud4"	0	0	2277400	0	2887900	0	0.250565717429759	0.260871995161164	0.322714365365438	0.807071310029622	0.75723097995895	0.465132323847554	0.448286776340802	4	2.37770806225332	0.0975256303366687	1.38382011821293	0.904269667737341	"Not Significant"	"Not Significant"	0.120771626417178	0.0930880908242149
"B2RXS4"	"Plexin-B2"	"Plxnb2"	0	14034000	26961000	0	11572000	10455000	0.27188709071123	0.499313924997429	0.593021425773431	0.643772244010862	0.573581856360182	0.409372715872617	0.378954531255958	4	2.37770806225332	0.0975256303366687	0.444755245012727	0.315302682084238	"Not Significant"	"Not Significant"	0.241404594800645	0.191267751683919
"B2RY50"	"Armadillo repeat-containing protein 4"	"Armc4"	19700000	14231000	24743000	37383000	66764000	57217000	-1.45454783170037	-4.26692671140141	-4.6673495488162	0.0129818285697776	0.00293328694574582	0.0489142889504243	0.0182417693823312	4	2.37770806225332	0.0975256303366687	0.174307834135333	0.145682242742998	"Not Significant"	"Not Significant"	2.53264545053515	1.88666413019882
"B2RY56"	"RNA-binding protein 25"	"Rbm25"	59111000	71178000	69564000	67775000	73908000	60720000	-0.0184855394284992	-0.157081613316477	-0.101875137846963	0.882790507399289	0.921983891232353	0.484677234516768	0.495862334827648	4	2.37770806225332	0.0975256303366687	0.0207732673030856	0.0493877335973403	"Not Significant"	"Not Significant"	0.0352766668097274	0.0541423454313981
"B7ZMP1"	"Probable Xaa-Pro aminopeptidase 3"	"Xpnpep3"	0	0	5457200	0	7944000	6800200	-0.655303770409966	-4.1592645225412	-3.28441487892762	0.0141536051234194	0.0153159868173513	0.0497420887893752	0.0383151705941018	4	2.37770806225332	0.0975256303366687	0.0372343270616355	0.059711856055046	"Not Significant"	"Not Significant"	1.81485501612652	1.84913292510155
"B9EJ80"	""	"Pdzd8"	0	0	8035800	0	8768000	0	-0.600542484421726	-2.15564328336507	-2.22397272774024	0.0973633971075407	0.065202581274416	0.123039740335562	0.092868701096402	4	2.37770806225332	0.0975256303366687	0.116419288605656	0.109375441011328	"Not Significant"	"Not Significant"	1.18573521084715	1.01160428153928
"B9EJ86"	"Oxysterol-binding protein"	"Osbpl8"	31813000	26743000	26233000	19140000	19217000	15660000	0.651367456425873	4.94778880911494	3.4762835346074	0.00777345263119777	0.0119690775217972	0.0397117019833562	0.03356176452158	4	2.37770806225332	0.0975256303366687	0.0259968701090054	0.0526638966044469	"Not Significant"	"Not Significant"	1.92193932015593	2.10938604353749
"B9EJR8"	"Dynein assembly factor 5, axonemal"	"Dnaaf5"	23088000	22697000	24859000	32035000	39812000	33222000	-0.56719272636248	-5.40206411490119	-3.2134921264063	0.00568438959440059	0.0168005324790749	0.0357338677123562	0.0400419343172785	4	2.37770806225332	0.0975256303366687	0.0165361002320595	0.0467302478487506	"Not Significant"	"Not Significant"	1.77467695344918	2.24531616422451
"B9EKI3"	"TATA element modulatory factor"	"Tmf1"	0	0	5228100	0	5773500	0	-0.101989623279402	-0.188890126358712	-0.224119576968822	0.859375683004985	0.82967279912721	0.479308798834794	0.46803626437994	4	2.37770806225332	0.0975256303366687	0.437305279023481	0.310630178472266	"Not Significant"	"Not Significant"	0.081093148046065	0.0658169393257995
"C0HK80"	""	"Arxes2"	8373100	10438000	7507300	6971700	0	9157700	0.201155083919858	1.02018363967777	0.912240899172222	0.365322832962167	0.394815764858736	0.291385855764229	0.300876435158202	4	2.37770806225332	0.0975256303366687	0.0583171882355323	0.0729347009818474	"Not Significant"	"Not Significant"	0.403605514425744	0.437323183195742
"C0HKD9"	""	"Mfap1b"	19471000	0	0	17569000	0	0	-0.495892073019257	-1.26579747893123	-1.42855385249664	0.274290105221408	0.200223352349151	0.241355184333686	0.194108641433378	4	2.37770806225332	0.0975256303366687	0.230216866483632	0.1807475243787	"Not Significant"	"Not Significant"	0.698485271487438	0.56178985891115
"C0HKE9"	"Histone H2A type 1-H;Histone H2A.J;Histone H2A type 1-K;Histone H2A type 1-F;Histone H2A type 3"	"Hist1h2ap"	152580000	12375000	1268800000	133100000	11020000	0	2.53407321114267	1.09703078601846	1.38023801230015	0.334235613594143	0.213945922436333	0.276660330244771	0.203155510615077	4	2.37770806225332	0.0975256303366687	8.00372104914301	5.05616929457049	"Not Significant"	"Not Significant"	0.669695986255418	0.475947276874176
"C0HKG6"	""	"Rnaset2b"	36393000	32889000	64552000	24732000	0	20545000	1.7065979319267	2.0117919570515	2.474716684017	0.114564581950979	0.0458064557885505	0.134839172651183	0.0743447404711175	4	2.37770806225332	0.0975256303366687	1.07941277572462	0.713350083763302	"Not Significant"	"Not Significant"	1.33907330986159	0.940949625306531
"C8YR32"	"Lipoxygenase homology domain-containing protein 1"	"Loxhd1"	178590000	119140000	35997000	118180000	0	60836000	1.2761890594091	0.92142997703852	1.15194880670278	0.408970889760307	0.290687141571314	0.312433825919788	0.247738459661898	4	2.37770806225332	0.0975256303366687	2.87737601497164	1.84100485986592	"Not Significant"	"Not Significant"	0.536574178646267	0.388307603646432
"D3YXK2"	"Scaffold attachment factor B1"	"Safb"	142790000	80933000	82258000	162830000	134700000	93921000	-0.371904409133882	-1.04490393212059	-1.1549411098852	0.355052710749121	0.289545705040313	0.287322480152821	0.247272374716382	4	2.37770806225332	0.0975256303366687	0.190020819377935	0.155537184417485	"Not Significant"	"Not Significant"	0.538282872765235	0.449707167260015
"D3YZP9"	"Coiled-coil domain-containing protein 6"	"Ccdc6"	5164700	0	0	4726400	0	0	-0.45492983395836	-1.21090981116178	-1.35475435946265	0.292580734452331	0.221519817082672	0.252222880131685	0.207616397829511	4	2.37770806225332	0.0975256303366687	0.211717374658562	0.169144928810201	"Not Significant"	"Not Significant"	0.654587415875786	0.533754274234308
"D3Z4S3"	"Putative peptidyl-tRNA hydrolase PTRHD1"	"Ptrhd1"	0	9635000	0	0	9517400	13378000	0.140804607649676	0.244006482065576	0.2916481766476	0.819230208529773	0.779811063469495	0.46817038341692	0.453597637824459	4	2.37770806225332	0.0975256303366687	0.499484787151092	0.34962820567619	"Not Significant"	"Not Significant"	0.108010607607037	0.0865940417736406
"D3Z690"	"Izumo sperm-egg fusion protein 4"	"Izumo4"	38465000	16416000	32968000	66213000	73968000	70542000	-1.35092764398693	-3.5483248542151	-3.98107951802321	0.0238344125593451	0.00642504747153601	0.0602529734823415	0.0254618333200663	4	2.37770806225332	0.0975256303366687	0.217424605116497	0.172724415611557	"Not Significant"	"Not Significant"	2.19212365919512	1.62279554754977
"D3Z6Q9"	"Bridging integrator 2"	"Bin2"	40564000	31975000	39910000	34509000	36182000	36761000	0.0578245745718775	0.506984422123142	0.321256248170525	0.638837609937023	0.758285229047655	0.40747948504963	0.448286776340802	4	2.37770806225332	0.0975256303366687	0.0195131292502246	0.0485973944720241	"Not Significant"	"Not Significant"	0.120167403733304	0.194609523799524
"D3Z7P3"	"Glutaminase kidney isoform, mitochondrial"	"Gls"	18693000	20148000	25282000	14645000	13623000	13975000	0.590648145410232	4.39226217788603	3.13126321431213	0.0117618566162011	0.0187196886361461	0.0466431029542669	0.0424856308414795	4	2.37770806225332	0.0975256303366687	0.0271251680271443	0.0533715476333905	"Not Significant"	"Not Significant"	1.72770137914109	1.9295241192013
"E9PV24"	"Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain"	"Fga"	282650000	360370000	535560000	111550000	87350000	165700000	1.69280003334054	4.45126952447448	4.99296791924682	0.0112357041755222	0.00207072332456319	0.0460439272236776	0.0159483496759789	4	2.37770806225332	0.0975256303366687	0.21693758123053	0.172418961751824	"Not Significant"	"Not Significant"	2.68387792459399	1.94939970384476
"E9PVA8"	""	"Gcn1"	222170000	166170000	181950000	226940000	210190000	180250000	-0.118712731659694	-0.75287891550867	-0.594808607025296	0.49340733671146	0.572457482504056	0.348724555192248	0.37861816324468	4	2.37770806225332	0.0975256303366687	0.0372937097459313	0.0597490999575364	"Not Significant"	"Not Significant"	0.242256763659822	0.306794397064335
"E9PXT9"	""	"Fam170b"	11284000	0	0	19881000	22605000	15914000	-1.40550519541109	-2.00698459033539	-2.43991699154873	0.115194519658331	0.0480938582513014	0.135293749095069	0.0762713714901929	4	2.37770806225332	0.0975256303366687	0.735644671693881	0.497744038033277	"Not Significant"	"Not Significant"	1.31791038096245	0.938568181839549
"E9PY46"	""	"Ift140"	107580000	63730000	68207000	155890000	150740000	151590000	-0.976439698334452	-4.10910015968344	-3.9978145604705	0.0147429780547361	0.0062980820610942	0.0500690476591419	0.0252468757816215	4	2.37770806225332	0.0975256303366687	0.0847010238595473	0.0894822352160772	"Not Significant"	"Not Significant"	2.20079168500652	1.83141478092049
"E9Q0C6"	""	"Kiaa1210"	303770000	240160000	216650000	427220000	354120000	253810000	-0.42687496974932	-1.62424533913793	-1.64231427925746	0.179647169820064	0.1486960507502	0.183550224295854	0.160251326101038	4	2.37770806225332	0.0975256303366687	0.103607067394362	0.101339813738187	"Not Significant"	"Not Significant"	0.827700565843693	0.745579620325244
"E9Q3L2"	""	"Pi4ka"	8946800	10221000	11876000	10832000	8897000	0	0.462906413697347	1.09744388981354	1.25602911506584	0.334075125854668	0.253157427561109	0.276660330244771	0.226134685649889	4	2.37770806225332	0.0975256303366687	0.266878142086158	0.203740910243761	"Not Significant"	"Not Significant"	0.596609326023606	0.476155859310138
"E9Q5C9"	""	"Nolc1"	18050000	15721000	21009000	17411000	12877000	16600000	0.226573496223677	1.25035397024896	1.07005674300621	0.279323253122458	0.323409877949033	0.244578751121967	0.265559146664663	4	2.37770806225332	0.0975256303366687	0.0492542280235754	0.0672505523043021	"Not Significant"	"Not Significant"	0.490246719515447	0.553892908615465
"E9Q735"	"Ubiquitin conjugation factor E4 A"	"Ube4a"	23670000	17048000	20124000	46673000	23168000	0	-0.0377572923176128	-0.0506409538072892	-0.0618314096047511	0.96203956303118	0.952589650892406	0.505743027171429	0.503300110257987	4	2.37770806225332	0.0975256303366687	0.833852412851198	0.559338416577233	"Not Significant"	"Not Significant"	0.0210941410532077	0.0168070676162136
"E9Q7G0"	""	"Numa1"	76998000	55708000	72722000	44957000	36814000	21140000	1.05210723823572	2.95537933790809	3.26676706428008	0.0417455599462546	0.0156715851176962	0.0761485534121573	0.0388541874104405	4	2.37770806225332	0.0975256303366687	0.19010117909624	0.155587584791739	"Not Significant"	"Not Significant"	1.8048870741726	1.37938970924346
"E9Q9D5"	"Rab-like protein 2A"	"Rabl2"	0	3408000	0	0	10919000	4289800	-0.17499605168803	-0.282932803769508	-0.340476154173661	0.791266507171557	0.744434799839171	0.460120850498638	0.444043561659995	4	2.37770806225332	0.0975256303366687	0.573827229428897	0.396254637336055	"Not Significant"	"Not Significant"	0.128173333251013	0.101677216755012
"F6ZDS4"	"Nucleoprotein TPR"	"Tpr"	57781000	78282000	80184000	47926000	56973000	52198000	0.449169578658004	2.66862345099254	2.19152766636479	0.0558860142086808	0.0682691086916207	0.0884580924561746	0.0951987430243429	4	2.37770806225332	0.0975256303366687	0.0424949509387595	0.0630112381062622	"Not Significant"	"Not Significant"	1.16577576717671	1.25269686316817
"F7BJB9"	""	"Morc3"	0	6560900	0	0	9172600	8860800	-0.340580085993765	-2.12008116296216	-1.69392571008051	0.10133280467758	0.13827906942446	0.126223669094354	0.153054073451585	4	2.37770806225332	0.0975256303366687	0.0387101439233953	0.060637465598383	"Not Significant"	"Not Significant"	0.859243551787874	0.994249936830074
"F8VQ03"	""	"Adam3"	12075000	6133700	7966700	28268000	24931000	12887000	-1.31470672183627	-2.90739661776297	-3.36677799980494	0.0437921577736061	0.0137684947664733	0.0777527307190006	0.0365897595561923	4	2.37770806225332	0.0975256303366687	0.306718847804541	0.228728385574707	"Not Significant"	"Not Significant"	1.86111353616623	1.35860365526271
"G5E829"	"Plasma membrane calcium-transporting ATPase 1"	"Atp2b1"	19451000	26342000	22878000	10138000	13649000	16453000	0.788083720137817	3.29076964393158	3.21172909708414	0.0301936857466981	0.0168393696989409	0.0661644463289215	0.0400483952807083	4	2.37770806225332	0.0975256303366687	0.0860282337440963	0.090314640758378	"Not Significant"	"Not Significant"	1.77367416826362	1.52008386936346
"G5E870"	"E3 ubiquitin-protein ligase TRIP12"	"Trip12"	63518000	46313000	71238000	74240000	68333000	42971000	-0.0189709382231169	-0.0616321372529818	-0.0655876871572199	0.953812440455521	0.94971409310948	0.504134495540802	0.503165272831959	4	2.37770806225332	0.0975256303366687	0.142119745832688	0.125494370868993	"Not Significant"	"Not Significant"	0.0224071173143889	0.020537017416986
"G5E8A8"	""	"Tekt5"	51210000	21259000	30096000	123630000	111250000	57529000	-1.53130291310308	-3.03085347880135	-3.56659368314621	0.0387480910909029	0.0106779022630273	0.0729170660314499	0.031791995833329	4	2.37770806225332	0.0975256303366687	0.382898436609651	0.276507047163802	"Not Significant"	"Not Significant"	1.97151405864408	1.41174968797336
"O08528"	"Hexokinase-2"	"Hk2"	108110000	101460000	104300000	68227000	96780000	82542000	0.356584789513642	2.40636313903472	1.82896642327094	0.073845162606401	0.114241037881263	0.103098597151061	0.133838549308891	4	2.37770806225332	0.0975256303366687	0.0329377974248029	0.0570171390219715	"Not Significant"	"Not Significant"	0.942177859979157	1.13167794885787
"O08529"	"Calpain-2 catalytic subunit"	"Capn2"	33377000	96714000	72051000	11244000	11618000	8646900	2.5619418274851	5.37061530763557	6.2699409613766	0.00580492877536024	0.000602862014405129	0.0362082702719906	0.00920108086124867	4	2.37770806225332	0.0975256303366687	0.341335687184583	0.250439532615082	"Significant"	"Significant"	3.21978207963433	2.23620310454863
"O08539"	"Myc box-dependent-interacting protein 1"	"Bin1"	22494000	43307000	12774000	12410000	9593900	10698000	1.09610576398794	2.10718944131399	2.48894061369658	0.102815817154912	0.044904464078002	0.126931708629138	0.073472106796199	4	2.37770806225332	0.0975256303366687	0.405871932379335	0.290915668910321	"Not Significant"	"Not Significant"	1.3477104824249	0.987940068466379
