"LFQ.intensity.AROM_Rep1"	"LFQ.intensity.AROM_Rep2"	"LFQ.intensity.AROM_Rep3"	"LFQ.intensity.WT_Rep1"	"LFQ.intensity.WT_Rep2"	"LFQ.intensity.WT_Rep3"	"id"	"Uniprot"	"Symbol"	"ProteinNames"
0	0	0	8047500	0	0	1034	"P56546"	"Ctbp2"	"C-terminal-binding protein 2"
0	0	0	0	0	2017000	1050	"P58242"	"Smpdl3b"	"Acid sphingomyelinase-like phosphodiesterase 3b"
0	0	0	0	0	3157300	1056	"P58774"	"Tpm2"	"Tropomyosin beta chain"
0	0	0	0	5227500	0	1059	"P59024"	"Fkbp14"	"Peptidyl-prolyl cis-trans isomerase FKBP14"
0	0	0	0	0	44634000	1060	"P59114"	"Pcif1"	"Phosphorylated CTD-interacting factor 1"
0	0	0	0	0	4039200	1061	"P59235"	"Nup43"	"Nucleoporin Nup43"
0	0	0	5638000	0	0	1079	"P60840"	"Ensa"	"Alpha-endosulfine"
0	0	0	0	0	3409000	1082	"P60898"	"Polr2i"	"DNA-directed RNA polymerase II subunit RPB9"
0	0	0	0	10849000	0	1083	"P60904"	"Dnajc5"	"DnaJ homolog subfamily C member 5"
0	0	0	0	0	1126500	1085	"P61022"	"Chp1"	"Calcineurin B homologous protein 1"
0	0	0	0	0	6103000	1104	"P61600"	"Naa20"	"N-alpha-acetyltransferase 20"
0	0	0	0	0	5625700	1122	"P62137"	"Ppp1ca"	"Serine/threonine-protein phosphatase PP1-alpha catalytic subunit"
0	0	0	0	14898000	16838000	1129	"P62257"	"Ube2h"	"Ubiquitin-conjugating enzyme E2 H"
0	0	0	0	3619700	0	1134	"P62274"	"Rps29"	"40S ribosomal protein S29"
0	0	0	0	0	29736000	1137	"P62305"	"Snrpe"	"Small nuclear ribonucleoprotein E"
0	0	0	0	3050500	0	1148	"P62488"	"Polr2g"	"DNA-directed RNA polymerase II subunit RPB7"
0	0	0	0	0	3883800	1149	"P62492"	"Rab11a"	"Ras-related protein Rab-11A"
0	0	0	0	0	2289300	1154	"P62715"	"Ppp2cb"	"Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform"
0	0	0	0	12522000	13414000	1157	"P62743"	"Ap2s1"	"AP-2 complex subunit sigma"
0	0	0	0	0	6539100	1158	"P62746"	"Rhob"	"Rho-related GTP-binding protein RhoB"
0	0	0	0	0	24897000	1174	"P62862"	"Fau"	"40S ribosomal protein S30"
0	0	0	0	0	2743700	1177	"P62876"	"Polr2l"	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"
0	0	0	0	0	7778000	1185	"P62915"	"Gtf2b"	"Transcription initiation factor IIB"
0	0	0	0	19728000	0	1206	"P63147"	"Ube2b"	"Ubiquitin-conjugating enzyme E2 B"
0	0	0	3881600	0	0	1216	"P63300"	"Selenow"	"Selenoprotein W"
0	0	0	0	0	1288200	1228	"P68181"	"Prkacb"	"cAMP-dependent protein kinase catalytic subunit beta"
0	0	0	11875000	0	0	1252	"P70288"	"Hdac2"	"Histone deacetylase 2"
0	0	0	0	0	3067500	1277	"P70460"	"Vasp"	"Vasodilator-stimulated phosphoprotein"
0	0	0	0	0	1815100	1278	"P70665"	"Siae"	"Sialate O-acetylesterase;Sialate O-acetylesterase small subunit;Sialate O-acetylesterase large subunit"
0	0	0	4669100	0	0	1280	"P70671"	"Irf3"	"Interferon regulatory factor 3"
0	0	0	0	0	15343000	1313	"P86048"	"Rpl10l"	"60S ribosomal protein L10-like"
0	0	0	0	0	2808200	1344	"P97452"	"Bop1"	"Ribosome biogenesis protein BOP1"
0	0	0	4484800	0	0	1356	"P97783"	"Mllt11"	"Protein AF1q"
0	0	0	1900000	0	0	1366	"P97858"	"Slc35b1"	"Solute carrier family 35 member B1"
0	0	0	0	0	2951700	1371	"P98191"	"Cds1"	"Phosphatidate cytidylyltransferase 1"
0	0	0	0	0	4064400	1378	"Q00262"	"Stx2"	"Syntaxin-2"
0	0	0	0	0	1930000	1379	"Q00422"	"Gabpa"	"GA-binding protein alpha chain"
0	0	0	935350	0	0	1405	"Q03141"	"Mark3"	"MAP/microtubule affinity-regulating kinase 3;MAP/microtubule affinity-regulating kinase 4;Serine/threonine-protein kinase MARK1"
0	0	0	3941300	0	0	1414	"Q04735"	"Cdk16"	"Cyclin-dependent kinase 16;Cyclin-dependent kinase 17"
0	0	0	0	3942000	0	1416	"Q04758"	"Pkib"	"cAMP-dependent protein kinase inhibitor beta"
0	0	0	5096200	0	0	1426	"Q05A62"	"Dnal1"	"Dynein light chain 1, axonemal"
0	0	0	3016200	0	0	1430	"Q06180"	"Ptpn2"	"Tyrosine-protein phosphatase non-receptor type 2"
0	0	0	5906500	0	0	1442	"Q08024"	"Cbfb"	"Core-binding factor subunit beta"
0	0	0	0	0	8696900	1450	"Q09143"	"Slc7a1"	"High affinity cationic amino acid transporter 1"
0	0	0	0	0	2376700	1451	"Q0EEE2"	"Ptchd3"	"Patched domain-containing protein 3"
0	0	0	0	5149000	3469300	1456	"Q0P5X5"	"Zbbx"	"Zinc finger B-box domain-containing protein 1"
0	0	0	0	0	124360000	1465	"Q148V8"	"Fam83h"	"Protein FAM83H"
0	0	0	0	9387300	0	1470	"Q14B46"	"Rtkn2"	"Rhotekin-2;Rhotekin"
0	0	0	0	9758700	0	1489	"Q3TC33"	"Ccdc127"	"Coiled-coil domain-containing protein 127;Fas-binding factor 1"
0	0	0	0	0	7686600	1510	"Q3TJZ6"	"Fam98a"	"Protein FAM98A"
0	0	0	2504100	0	0	1513	"Q3TL44"	"Nlrx1"	"NLR family member X1"
0	0	0	5003000	0	0	1517	"Q3TNA1"	"Xylb"	"Xylulose kinase"
0	0	0	0	31521000	0	1531	"Q3TX08"	"Trmt1"	"tRNA (guanine(26)-N(2))-dimethyltransferase"
0	0	0	0	0	6886200	1535	"Q3TZ89"	"Sec31b"	"Protein transport protein Sec31B"
0	0	0	0	6312600	6536000	1537	"Q3U0B3"	"Dhrs11"	"Dehydrogenase/reductase SDR family member 11"
0	0	0	0	0	1831400	1545	"Q3U3R4"	"Lmf1"	"Lipase maturation factor 1"
0	0	0	8718900	0	0	1548	"Q3U5F4"	"Yrdc"	"YrdC domain-containing protein, mitochondrial"
0	0	0	0	0	12724000	1552	"Q3U898"	"Cops9"	"Myeloma-overexpressed gene 2 protein homolog"
0	0	0	2150500	0	0	1558	"Q3UBZ5"	"Mif4gd"	"MIF4G domain-containing protein"
0	0	0	0	0	1340400	1559	"Q3UCV8"	"Otulin"	"Ubiquitin thioesterase otulin"
0	0	0	11784000	0	0	1560	"Q3UD01"	"Atxn7l3b"	"Putative ataxin-7-like protein 3B"
0	0	0	3295500	0	0	1563	"Q3UDR8"	"Yipf3"	"Protein YIPF3;Protein YIPF3, N-terminally processed"
0	0	0	0	19512000	19269000	1565	"Q3UE17"	"Mex3d"	"RNA-binding protein MEX3D"
0	0	0	1416700	0	0	1575	"Q3UHJ0"	"Aak1"	"AP2-associated protein kinase 1"
0	0	0	6834400	0	0	1606	"Q3USS3"	"Drc1"	"Dynein regulatory complex protein 1"
0	0	0	0	0	23718000	1610	"Q3UV17"	"Krt76"	"Keratin, type II cytoskeletal 2 oral"
0	0	0	2778800	0	0	1618	"Q3UZ57"	"Axdnd1"	"Axonemal dynein light chain domain-containing protein 1"
0	0	0	0	0	8181300	1620	"Q3V036"	"Ccdc27"	"Coiled-coil domain-containing protein 27"
0	0	0	6242400	0	0	1622	"Q3V096"	"Ankrd42"	"Ankyrin repeat domain-containing protein 42"
0	0	0	0	4327000	0	1630	"Q3V1H1"	"Ckap2"	"Cytoskeleton-associated protein 2"
0	0	0	0	0	3020800	1641	"Q9WVA2"	"Timm8a1"	"Mitochondrial import inner membrane translocase subunit Tim8 A;Putative mitochondrial import inner membrane translocase subunit Tim8 A-B"
0	0	0	9258100	0	0	1655	"Q505D1"	"Ankrd28"	"Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A"
0	0	0	0	23287000	17728000	1659	"Q569E4"	"MENT"	"Protein MENT"
0	0	0	0	3584700	2699400	1673	"Q5I012"	"Slc38a10"	"Putative sodium-coupled neutral amino acid transporter 10"
0	0	0	0	0	3223300	1674	"Q5I1X5"	"Ppp1r13l"	"RelA-associated inhibitor"
0	0	0	0	0	2302200	1675	"Q5KU39"	"Vps41"	"Vacuolar protein sorting-associated protein 41 homolog"
0	0	0	23658000	33304000	28597000	1679	"Q5M8S2"	"Prss46"	"Serine protease 46"
0	0	0	3293900	0	0	1681	"Q5PR68"	"Cep112"	"Centrosomal protein of 112 kDa"
0	0	0	0	0	14625000	1685	"Q5QNQ6"	"Osbp2"	"Oxysterol-binding protein 2"
0	0	0	0	0	1761200	1687	"Q5RL79"	"Krtcap2"	"Keratinocyte-associated protein 2"
0	0	0	0	21095000	19469000	1692	"Q5SS91"	"Sun3"	"SUN domain-containing protein 3"
0	0	0	4244200	0	0	1700	"Q5SV85"	"Synrg"	"Synergin gamma"
0	0	0	0	3648500	0	1701	"Q5SVQ0"	"Kat7"	"Histone acetyltransferase KAT7"
0	0	0	0	0	6352700	1715	"Q5XKN4"	"Jagn1"	"Protein jagunal homolog 1"
0	0	0	3066000	0	0	1716	"Q5XPI3"	"Rnf123"	"E3 ubiquitin-protein ligase RNF123"
0	0	0	3606400	0	0	1739	"Q60759"	"Gcdh"	"Glutaryl-CoA dehydrogenase, mitochondrial"
0	0	0	0	0	3663000	1743	"Q60823"	"Akt2"	"RAC-beta serine/threonine-protein kinase"
0	0	0	828940	0	0	1744	"Q60838"	"Dvl2"	"Segment polarity protein dishevelled homolog DVL-2;Segment polarity protein dishevelled homolog DVL-3"
0	0	0	2871000	0	0	1747	"Q60855"	"Ripk1"	"Receptor-interacting serine/threonine-protein kinase 1"
0	0	0	0	0	21147000	1776	"Q61084"	"Map3k3"	"Mitogen-activated protein kinase kinase kinase 3;Mitogen-activated protein kinase kinase kinase 2"
0	0	0	0	3814700	0	1783	"Q61151"	"Ppp2r5e"	"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform"
0	0	0	0	0	5018300	1785	"Q61164"	"Ctcf"	"Transcriptional repressor CTCF"
0	0	0	0	0	2527700	1797	"Q61216"	"Mre11"	"Double-strand break repair protein MRE11A"
0	0	0	0	0	1646400	1804	"Q61268"	"Apoc4"	"Apolipoprotein C-IV"
0	0	0	0	0	3162400	1806	"Q61301"	"Ctnna2"	"Catenin alpha-2"
0	0	0	3998300	0	0	1816	"Q61458"	"Ccnh"	"Cyclin-H"
0	0	0	0	2847000	0	1818	"Q6P9Z1"	"Smarcd3"	"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2"
0	0	0	0	16065000	0	1820	"Q61475"	"Cd55"	"Complement decay-accelerating factor, GPI-anchored;Complement decay-accelerating factor transmembrane isoform"
0	0	0	1720600	0	0	1865	"Q62036"	"Cep131"	"Centrosomal protein of 131 kDa"
0	0	0	3618100	0	0	1886	"Q62273"	"Slc26a2"	"Sulfate transporter"
0	0	0	0	0	4803600	1934	"Q64345"	"Ifit3"	"Interferon-induced protein with tetratricopeptide repeats 3"
0	0	0	0	3784300	0	1937	"Q64373"	"Bcl2l1"	"Bcl-2-like protein 1"
0	0	0	0	3589900	0	1956	"Q64735"	"Cr1l"	"Complement component receptor 1-like protein"
0	0	0	0	0	1992100	1958	"Q64FW2"	"Retsat"	"All-trans-retinol 13,14-reductase"
0	0	0	4357400	0	0	1969	"Q69AB2"	"Txndc8"	"Thioredoxin domain-containing protein 8"
0	0	0	0	8507000	8704800	1971	"Q69Z89"	"Radil"	"Ras-associating and dilute domain-containing protein"
0	0	0	1705700	0	0	1972	"Q69ZM6"	"Stk36"	"Serine/threonine-protein kinase 36"
0	0	0	1430000	0	0	1974	"Q69ZR2"	"Hectd1"	"E3 ubiquitin-protein ligase HECTD1"
0	0	0	0	0	5164900	1980	"Q6A078"	"Cep290"	"Centrosomal protein of 290 kDa"
0	0	0	0	0	5857700	1984	"Q6DID3"	"Scaf8"	"Protein SCAF8"
0	0	0	5309000	0	0	1986	"Q6DVA0"	"Lemd2"	"LEM domain-containing protein 2"
0	0	0	13320000	0	0	1989	"Q6GQU2"	"Klhl23"	"Kelch-like protein 23"
0	0	0	4607400	0	0	1990	"Q6GV12"	"Kdsr"	"3-ketodihydrosphingosine reductase"
0	0	0	3113800	0	0	1992	"Q6IMH0"	"Tepp"	"Testis, prostate and placenta-expressed protein"
0	0	0	1187000	0	0	1993	"Q6IR34"	"Gpsm1"	"G-protein-signaling modulator 1"
0	0	0	7903700	0	0	1998	"Q6NSQ9"	"G6pc3"	"Glucose-6-phosphatase 3"
0	0	0	1736500	0	0	2010	"Q6NZF1"	"Zc3h11a"	"Zinc finger CCCH domain-containing protein 11A"
0	0	0	0	6694000	0	2035	"Q6P926"	"Spata24"	"Spermatogenesis-associated protein 24"
0	0	0	1411000	0	0	2044	"Q6PB51"	"Ccdc117"	"Coiled-coil domain-containing protein 117"
0	0	0	0	14291000	0	2047	"Q6PCP5"	"Mff"	"Mitochondrial fission factor"
0	0	0	0	0	2387700	2058	"Q6PE54"	"Dhx40"	"Probable ATP-dependent RNA helicase DHX40"
0	0	0	6132300	0	0	2059	"Q6PE87"	"Cfap206"	"UPF0704 protein C6orf165 homolog"
0	0	0	0	3212200	0	2076	"Q6QD59"	"Bnip1"	"Vesicle transport protein SEC20"
0	0	0	0	0	16009000	2077	"Q6QIY3"	"Scn10a"	"Sodium channel protein type 10 subunit alpha;Sodium channel protein type 11 subunit alpha;Sodium channel protein type 9 subunit alpha;Sodium channel protein type 5 subunit alpha"
0	0	0	488380	0	0	2081	"Q6T3U4"	"Npc1l1"	"Niemann-Pick C1-like protein 1"
0	0	0	2072600	0	0	2082	"Q6TDU8"	"Casc1"	"Protein CASC1"
0	0	0	5936200	0	0	2083	"Q6TXD4"	"Dnmbp"	"Dynamin-binding protein"
0	0	0	14282000	0	0	2084	"Q6URW6"	"Myh14"	"Myosin-14"
0	0	0	0	7884500	8107000	2091	"Q6Y7W8"	"Gigyf2"	"PERQ amino acid-rich with GYF domain-containing protein 2"
0	0	0	0	0	2084500	2093	"Q6ZPE2"	"Sbf1"	"Myotubularin-related protein 5"
0	0	0	0	2405500	0	2119	"Q6ZWZ2"	"Ube2r2"	"Ubiquitin-conjugating enzyme E2 R2"
0	0	0	3014800	0	0	2123	"Q71KT5"	"Tm7sf2"	"Delta(14)-sterol reductase"
0	0	0	0	0	34288000	2128	"Q78IK2"	"Usmg5"	"Up-regulated during skeletal muscle growth protein 5"
0	0	0	0	0	13907000	2136	"Q78XF5"	"Ostc"	"Oligosaccharyltransferase complex subunit OSTC"
0	0	0	0	0	6156400	2139	"Q78YZ6"	"Scoc"	"Short coiled-coil protein"
0	0	0	0	0	1654700	2144	"Q7M6Y5"	"Deup1"	"Deuterosome protein 1"
0	0	0	0	0	2902700	2147	"Q7TMC8"	"Fuk"	""
0	0	0	0	0	7278800	2151	"Q7TMM9"	"Tubb2a"	"Tubulin beta-2A chain"
0	0	0	1885500	0	0	2154	"Q7TMY4"	"Thoc7"	"THO complex subunit 7 homolog"
0	0	0	21777000	0	0	2156	"Q7TN02"	"Med26"	"Mediator of RNA polymerase II transcription subunit 26"
0	0	0	2249600	0	0	2157	"Q812E0"	"Cpeb2"	"Cytoplasmic polyadenylation element-binding protein 2;Cytoplasmic polyadenylation element-binding protein 3;Cytoplasmic polyadenylation element-binding protein 4"
0	0	0	7808100	0	0	2159	"Q7TNE3"	"Spag7"	"Sperm-associated antigen 7"
0	0	0	5744100	0	0	2176	"Q7TSD4"	"Tbata"	"Protein TBATA"
