"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.WT_Rep1"	"Intensity.WT_Rep2"	"Intensity.WT_Rep3"	"Mean_wt"	"Median_wt"	"logFC"	"Pvalue_limma"
3250.5499	"Q3V1L4"	"Cytosolic purine 5-nucleotidase"	"Nt5c2"	13613000	2848700	1399000	5953566.66666667	2848700	-0.40386550863526	0.709617695384253
1387.8075	"Q8CIG8"	"Protein arginine N-methyltransferase 5"	"Prmt5"	8974100	6110900	2165700	5750233.33333333	6110900	-0.295822160371786	0.773840986177953
757.46979	"Q6NZC7"	"SEC23-interacting protein"	"Sec23ip"	8784300	3494800	1654300	4644466.66666667	3494800	-0.28153969410401	0.788199660337953
1551.7425	"Q8BVI4"	"Dihydropteridine reductase"	"Qdpr"	15894000	8043400	4685600	9541000	8043400	-0.664653567092155	0.553041290147388
1245.5725	"P52194"	"Calmegin"	"Clgn"	98875000	85600000	15138000	66537666.6666667	85600000	-1.0785076671111	0.310778288742022
1142.6448	"B9EJR8"	"Dynein assembly factor 5, axonemal"	"Dnaaf5"	4914700	3223800	1018200	3052233.33333333	3223800	-0.243525943911553	0.821759019731206
772.4443	"Q920B9"	"FACT complex subunit SPT16"	"Supt16h"	4799100	2822300	1107700	2909700	2822300	-0.726316494778061	0.495004062436862
1202.5779	"P28740"	"Kinesin-like protein KIF2A"	"Kif2a"	6528400	3303800	1008300	3613500	3303800	-0.0983176713986139	0.925038876467004
1203.6282	"Q61999"	"Outer dense fiber protein 1"	"Odf1"	181320000	39236000	6452900	75669633.3333333	39236000	-0.241709108643814	0.83276123758783
1318.6816	"Q8BMF4"	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	"Dlat"	8646300	3062800	1535300	4414800	3062800	-0.301687730076591	0.778782074790854
1950.9535	"Q8VC30"	"Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)"	"Dak"	65293000	24823000	10120000	33412000	24823000	-1.17759209690662	0.284988062855005
2641.4075	"P56873"	"Sjoegren syndrome/scleroderma autoantigen 1 homolog"	"Sssca1"	6930600	3689600	2356300	4325500	3689600	-0.0921281021617054	0.928862560097684
2680.433	"Q99P31"	"Hsp70-binding protein 1"	"Hspbp1"	0	1754200	1200700	984966.666666667	1200700	-0.520075003995161	0.609147333219768
1180.536	"Q3URD3"	"Sarcolemmal membrane-associated protein"	"Slmap"	8884900	6714300	2769500	6122900	6714300	-0.235435960838674	0.831150617631434
1036.5189	"Q9Z1Z2"	"Serine-threonine kinase receptor-associated protein"	"Strap"	0	6054200	2578800	2877666.66666667	2578800	-0.235238495115784	0.83196132039178
1654.7886	"Q8BND3"	"WD repeat-containing protein 35"	"Wdr35"	8291900	5477100	1935000	5234666.66666667	5477100	-0.362948376800584	0.728555325392825
899.50763	"Q8VCN9"	"Tubulin-specific chaperone C"	"Tbcc"	8794500	4297500	1337500	4809833.33333333	4297500	-0.0252324259073296	0.981411056161457
1321.7394	"Q3TXS7"	"26S proteasome non-ATPase regulatory subunit 1"	"Psmd1"	47671000	11235000	4713800	21206600	11235000	-0.0764622374447125	0.942788743008035
2276.1285	"P17182"	"Alpha-enolase"	"Eno1"	29003000	5431800	17944000	17459600	17944000	-0.948985937583751	0.403501369912971
933.41269	"Q9D2H9"	"Dynein assembly factor 1, axonemal"	"Dnaaf1"	6470800	0	1474400	2648400	1474400	-0.706070677299765	0.516693475009264
1381.6772	"Q9EQH3"	"Vacuolar protein sorting-associated protein 35"	"Vps35"	8493500	5346200	2975600	5605100	5346200	-1.78641196672373	0.119017336179022
1211.4522	"Q61792"	"LIM and SH3 domain protein 1"	"Lasp1"	1858400	1526000	1158600	1514333.33333333	1526000	-0.478726784122739	0.643215235734967
2892.2915	"Q8R127"	"Saccharopine dehydrogenase-like oxidoreductase"	"Sccpdh"	47908000	29318000	13781000	30335666.6666667	29318000	-0.946500762265486	0.363017632126602
1766.8662	"P46471"	"26S protease regulatory subunit 7"	"Psmc2"	0	6779300	596840	2458713.33333333	596840	-0.117896883036461	0.913793264753811
1998.9139	"Q3U3T8"	"WD repeat-containing protein 62"	"Wdr62"	3494300	1419200	661840	1858446.66666667	1419200	-0.398554708853638	0.701634886846146
880.44767	"P15105"	"Glutamine synthetase"	"Glul"	36850000	26813000	13317000	25660000	26813000	-0.134717232738977	0.895145857233584
1338.551	"Q3U6K5"	"Spermatogenesis-associated protein 6"	"Spata6"	3425100	1988800	580870	1998256.66666667	1988800	-0.197561863856524	0.849608229706198
1407.5936	"Q64514"	"Tripeptidyl-peptidase 2"	"Tpp2"	23934000	12515000	4388700	13612566.6666667	12515000	-0.0864226045202277	0.933631492267357
1842.9233	"Q9JHU9"	"Inositol-3-phosphate synthase 1"	"Isyna1"	7479300	5136400	4426200	5680633.33333333	5136400	-0.577003449567998	0.589116959231116
993.49198	"P11404"	"Fatty acid-binding protein, heart"	"Fabp3"	65372000	27755000	13025000	35384000	27755000	-0.464237927511039	0.657302718106811
1547.7679	"Q99JX3"	"Golgi reassembly-stacking protein 2"	"Gorasp2"	9247300	4110000	1459900	4939066.66666667	4110000	-0.50437304953127	0.634441234299072
2505.1905	"Q9WTQ5"	"A-kinase anchor protein 12"	"Akap12"	22055000	9850300	3912600	11939300	9850300	-0.854988941926055	0.437553711762589
645.33336	"P70349"	"Histidine triad nucleotide-binding protein 1"	"Hint1"	4728800	2648700	1413200	2930233.33333333	2648700	-0.270744486064125	0.794863914305663
827.31197	"Q9R1P4"	"Proteasome subunit alpha type-1"	"Psma1"	11781000	3760600	1129300	5556966.66666667	3760600	-0.178335968773483	0.870801856008391
776.44324	"Q9JJN4"	"Succinyl-CoA:3-ketoacid coenzyme A transferase 2B, mitochondrial;Succinyl-CoA:3-ketoacid coenzyme A transferase 2A, mitochondrial"	"Oxct2b;Oxct2a"	31322000	20373000	7155500	19616833.3333333	20373000	-0.696152572112828	0.50360495351498
2314.1441	"P47791"	"Glutathione reductase, mitochondrial"	"Gsr"	16739000	15762000	6471400	12990800	15762000	-0.484578500964964	0.671203081469953
1238.6004	"Q9CW46"	"Ribonucleoprotein PTB-binding 1"	"Raver1"	4547800	2438000	0	2328600	2438000	-0.0946109270401307	0.930472678480865
1534.694	"Q9JMB7"	"Piwi-like protein 1"	"Piwil1"	23410000	13571000	3247000	13409333.3333333	13571000	-1.46049280679001	0.169375662610888
3020.611	"P30115"	"Glutathione S-transferase A3"	"Gsta3"	352980000	78281000	46538000	159266333.333333	78281000	-0.60159223933432	0.57075361845044
1866.9761	"Q6PE15"	"Mycophenolic acid acyl-glucuronide esterase, mitochondrial"	"Abhd10"	0	8877700	2963300	3947000	2963300	-0.545514409850244	0.606463099611486
983.57638	"Q8VE62"	"Polyadenylate-binding protein-interacting protein 1"	"Paip1"	47481000	5968200	2245900	18565033.3333333	5968200	-0.827965548629322	0.445659135893651
2349.1464	"Q9Z1W9"	"STE20/SPS1-related proline-alanine-rich protein kinase"	"Stk39"	0	9558700	3889500	4482733.33333333	3889500	-0.236844143172617	0.843647531235321
1713.7958	"E9Q0C6"	""	"Gm14569"	32625000	10333000	2264500	15074166.6666667	10333000	-0.831506459935284	0.458910386195365
1446.7442	"Q45VK7"	"Cytoplasmic dynein 2 heavy chain 1"	"Dync2h1"	3284100	1165000	715360	1721486.66666667	1165000	-0.697487951637866	0.499705896097508
1520.7359	"P0DP28"	"Calmodulin-like protein 3"	"Calml3"	37321000	27253000	15836000	26803333.3333333	27253000	-0.20741020695454	0.839871098425939
1498.7165	"P50431"	"Serine hydroxymethyltransferase, cytosolic"	"Shmt1"	18807000	6846100	0	8551033.33333333	6846100	-0.522958805255072	0.639602377629103
1446.6754	"Q61024"	"Asparagine synthetase [glutamine-hydrolyzing]"	"Asns"	21210000	8073200	2462800	10582000	8073200	-0.304785995407083	0.772471533811031
2326.0965	"Q8BP92"	"Reticulocalbin-2"	"Rcn2"	15694000	7363900	9756000	10937966.6666667	9756000	-1.30876065715217	0.212362933868288
1546.7264	"Q05920"	"Pyruvate carboxylase, mitochondrial"	"Pc"	7087600	3603100	1325900	4005533.33333333	3603100	-0.286520763616235	0.791557411683185
1688.83	"Q8VDM6"	"Heterogeneous nuclear ribonucleoprotein U-like protein 1"	"Hnrnpul1"	8673800	5199300	1905400	5259500	5199300	-0.659131693343666	0.539594564518793
1019.4892	"Q9QYI3"	"DnaJ homolog subfamily C member 7"	"Dnajc7"	3575800	1801300	1303900	2227000	1801300	-0.913103946376276	0.385772789382985
2746.2933	"Q9WTQ5"	"A-kinase anchor protein 12"	"Akap12"	21486000	10746000	0	10744000	10746000	-1.45305240377162	0.22436558457168
2091.9671	"Q7TSG5"	"SH3 domain-containing protein 21"	"Sh3d21"	6439000	3402100	794420	3545173.33333333	3402100	-0.668112191062858	0.532323285582434
1629.737	"Q80YW5"	"B box and SPRY domain-containing protein"	"Bspry"	1702200	1678500	289950	1223550	1678500	-0.0783811457233365	0.941368511039496
848.35119	"Q61024"	"Asparagine synthetase [glutamine-hydrolyzing]"	"Asns"	3056600	7426700	2025700	4169666.66666667	3056600	-1.18353851753576	0.264185968150074
2002.9306	"P55302"	"Alpha-2-macroglobulin receptor-associated protein"	"Lrpap1"	8819400	4837100	2674600	5443700	4837100	-0.823648682303144	0.44978912512479
873.44436	"P14873"	"Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1"	"Map1b"	9663700	6940100	0	5534600	6940100	-0.16926119993227	0.878550513597192
1464.6746	"Q8BP92"	"Reticulocalbin-2"	"Rcn2"	17679000	6982000	1958700	8873233.33333333	6982000	-0.883840721678259	0.426671152058217
1980.9752	"Q9CQ46"	"EF-hand calcium-binding domain-containing protein 2"	"Efcab2"	6685000	4538500	2017500	4413666.66666667	4538500	-2.01258113247955	0.0583236243712311
1344.6409	"Q99MD9"	"Nuclear autoantigenic sperm protein"	"Nasp"	51206000	23756000	4140600	26367533.3333333	23756000	-0.852865924583117	0.436145940463515
1055.5611	"Q6PB66"	"Leucine-rich PPR motif-containing protein, mitochondrial"	"Lrpprc"	0	1392700	596880	663193.333333333	596880	-0.526062375046995	0.618772378980496
758.41742	"Q9CX86"	"Heterogeneous nuclear ribonucleoprotein A0"	"Hnrnpa0"	20456000	9005200	2894900	10785366.6666667	9005200	-3.00817725713659	0.0227772503937474
1575.8984	"Q8BG48"	"Serine/threonine-protein kinase 17B"	"Stk17b"	1236400	832670	426730	831933.333333333	832670	-0.218215545799068	0.830989688427509
799.41882	"P31254"	"Ubiquitin-like modifier-activating enzyme 1 Y"	"Uba1y"	2450600	982520	1270800	1567973.33333333	1270800	-0.230356174875481	0.824751774863234
1117.5615	"Q9EP71"	"Ankycorbin"	"Rai14"	8100800	2053300	978320	3710806.66666667	2053300	-0.124612903487423	0.906068521212349
1655.7825	"Q9QXG4"	"Acetyl-coenzyme A synthetase, cytoplasmic"	"Acss2"	3136700	1184400	495800	1605633.33333333	1184400	-0.0351343547039931	0.973426311790675
2454.3192	"Q68FL6"	"Methionine--tRNA ligase, cytoplasmic"	"Mars"	6989400	1146300	715990	2950563.33333333	1146300	-0.299639483924485	0.779503314110054
1365.6017	"Q9EQ20"	"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"	"Aldh6a1"	8365700	1523700	3051300	4313566.66666667	3051300	-0.107689540608263	0.917937829794042
2141.0277	"Q3TGF2"	"Protein FAM107B"	"Fam107b"	5710100	2817000	1105500	3210866.66666667	2817000	-0.465820003083214	0.660653237759376
1575.7199	"P17751"	"Triosephosphate isomerase"	"Tpi1"	5019200	2766600	958250	2914683.33333333	2766600	-0.331648910033946	0.75154205343755
2030.0507	"Q921M3"	"Splicing factor 3B subunit 3"	"Sf3b3"	13163000	5620000	2261600	7014866.66666667	5620000	-0.583663662975691	0.590065264774128
785.40317	"Q02053"	"Ubiquitin-like modifier-activating enzyme 1"	"Uba1"	7241400	5166400	1416200	4608000	5166400	-0.804840547001067	0.472926008523423
920.41994	"Q9R0Y5"	"Adenylate kinase isoenzyme 1"	"Ak1"	41997000	29798000	10658000	27484333.3333333	29798000	-0.0170892070207414	0.986843464253136
3134.5086	"P80316"	"T-complex protein 1 subunit epsilon"	"Cct5"	156780000	19412000	5871700	60687900	19412000	-0.0344979472156457	0.975612812677582
913.47316	"P57722"	"Poly(rC)-binding protein 3"	"Pcbp3"	3803700	2211500	606640	2207280	2211500	-0.0248206677707734	0.981437932567915
907.48372	"P60335"	"Poly(rC)-binding protein 1;Poly(rC)-binding protein 2"	"Pcbp1;Pcbp2"	44536000	38995000	10677000	31402666.6666667	38995000	-1.42644313817751	0.246838350529636
1271.7602	"Q9EPL8"	"Importin-7"	"Ipo7"	4719900	2213900	1112400	2682066.66666667	2213900	-0.573733416280873	0.585267459062092
1030.4832	"P32037"	"Solute carrier family 2, facilitated glucose transporter member 3"	"Slc2a3"	77662000	21227000	7028500	35305833.3333333	21227000	-1.28914639566848	0.252237238678679
2420.1141	"O70252"	"Heme oxygenase 2"	"Hmox2"	0	6300000	2873800	3057933.33333333	2873800	-0.946003762020072	0.373668725602336
1051.5603	"Q8R2G4"	"Ecto-ADP-ribosyltransferase 3"	"Art3"	5272700	2955600	804340	3010880	2955600	-0.891075029273947	0.40272187240037
2390.2059	"P28665"	"Murinoglobulin-1"	"Mug1"	53368000	9948800	9425200	24247333.3333333	9948800	-1.77020721908248	0.118300621749017
3823.7289	"Q64435"	"UDP-glucuronosyltransferase 1-7C;UDP-glucuronosyltransferase 1-9;UDP-glucuronosyltransferase 1-2;UDP-glucuronosyltransferase 1-1;UDP-glucuronosyltransferase 1-6"	"Ugt1a7c;Ugt1a9;Ugt1a2;Ugt1a1;Ugt1a6"	44476000	10779000	4818000	20024333.3333333	10779000	-0.862474117886284	0.428511365382532
753.40613	"Q9EP71"	"Ankycorbin"	"Rai14"	2554700	1960500	602230	1705810	1960500	-0.0121231090281029	0.990731282585313
1298.5932	"O89112"	"LanC-like protein 1"	"Lancl1"	34770000	19351000	6666400	20262466.6666667	19351000	-0.0091341692751668	0.993036643803477
1415.7085	"P58044"	"Isopentenyl-diphosphate Delta-isomerase 1"	"Idi1"	7964600	6532900	3551500	6016333.33333333	6532900	-0.691735116615479	0.501310015971619
836.40283	"Q9CZ44"	"NSFL1 cofactor p47"	"Nsfl1c"	8717800	3202600	1695200	4538533.33333333	3202600	-0.850220043576089	0.432311935524439
1013.6274	"Q9D7H3"	"RNA 3-terminal phosphate cyclase"	"RtcA"	7994200	4234900	1773300	4667466.66666667	4234900	-1.00303688304579	0.354181030803722
1715.8995	"P25444"	"40S ribosomal protein S2"	"Rps2"	24997000	1389600	4314800	10233800	4314800	-0.207554674674237	0.857069552265017
1546.745	"P51174"	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial"	"Acadl"	13486000	17118000	7433000	12679000	13486000	-1.52410067908567	0.157201787284298
2329.011	"P05213"	"Tubulin alpha-1B chain;Tubulin alpha-3 chain;Tubulin alpha-4A chain;Tubulin alpha-1A chain;Tubulin alpha-1C chain;Tubulin alpha-8 chain"	"Tuba1b;Tuba3a;Tuba4a;Tuba1a;Tuba1c;Tuba8"	366940000	187740000	38388000	197689333.333333	187740000	-2.37827240730072	0.0924916712866862
3198.4604	"P05214"	"Tubulin alpha-3 chain;Tubulin alpha-8 chain"	"Tuba3a;Tuba8"	712440000	115530000	80224000	302731333.333333	115530000	-2.79648096362635	0.0472083471669041
3216.4169	"P05213"	"Tubulin alpha-1B chain;Tubulin alpha-4A chain;Tubulin alpha-1A chain;Tubulin alpha-1C chain"	"Tuba1b;Tuba4a;Tuba1a;Tuba1c"	214210000	54866000	60631000	109902333.333333	60631000	-1.60831416567215	0.211078849187832
1613.8011	"P16627"	"Heat shock 70 kDa protein 1-like"	"Hspa1l"	34835000	15310000	0	16715000	15310000	-0.716086187106867	0.538425188145846
2179.0943	"P14869"	"60S acidic ribosomal protein P0"	"Rplp0"	56849000	23244000	0	26697666.6666667	23244000	-0.470679334057379	0.71269149850189
1455.6664	"A2AN08"	"E3 ubiquitin-protein ligase UBR4"	"Ubr4"	3318700	1922300	743560	1994853.33333333	1922300	-0.0845967127238631	0.936752698384641
2074.8927	"Q91XV3"	"Brain acid soluble protein 1"	"Basp1"	42562000	8504400	5937000	19001133.3333333	8504400	-0.16520775999334	0.878896025864917
1002.5134	"P61164"	"Alpha-centractin;Beta-centractin"	"Actr1a;Actr1b"	25592000	15762000	7192300	16182100	15762000	-2.55233617720651	0.0319109998910579
1369.6336	"Q80W49"	"Beta/gamma crystallin domain-containing protein 3"	"Crybg3"	0	3552600	1897100	1816566.66666667	1897100	-0.178861403759737	0.868636555963887
889.45051	"Q9QXD6"	"Fructose-1,6-bisphosphatase 1"	"Fbp1"	39118000	19291000	8001100	22136700	19291000	-0.263510615481543	0.802590296146665
2652.3184	"Q9JJN4"	"Succinyl-CoA:3-ketoacid coenzyme A transferase 2A, mitochondrial"	"Oxct2a"	59811000	27945000	16419000	34725000	27945000	-1.45401239350807	0.166900082623933
1867.9468	"Q99JX3"	"Golgi reassembly-stacking protein 2"	"Gorasp2"	61164000	5405500	1829100	22799533.3333333	5405500	-0.770148077985635	0.521939383125618
1815.8904	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	149470000	56178000	27312000	77653333.3333333	56178000	-4.76716907049259	5.21134973373207e-05
1771.8047	"Q3U3T8"	"WD repeat-containing protein 62"	"Wdr62"	4428300	1799900	865450	2364550	1799900	-0.13167524408169	0.89961118380365
2191.0256	"P17182"	"Alpha-enolase"	"Eno1"	51864000	16229000	7297300	25130100	16229000	-1.22657566844685	0.314527581670722
1400.7776	"Q3U2V3"	"8-oxo-dGDP phosphatase NUDT18"	"Nudt18"	5491000	2820300	2016300	3442533.33333333	2820300	-0.910286953176801	0.382690705494785
3897.8082	"Q99KP6"	"Pre-mRNA-processing factor 19"	"Prpf19"	8110200	3858100	2082300	4683533.33333333	3858100	-0.718026990718677	0.507022813419772
3452.5633	"Q61205"	"Platelet-activating factor acetylhydrolase IB subunit gamma"	"Pafah1b3"	54583000	20384000	13012000	29326333.3333333	20384000	-1.03859319612892	0.336335117109176
1671.8216	"Q9JKR6"	"Hypoxia up-regulated protein 1"	"Hyou1"	15656000	11640000	1898800	9731600	11640000	-1.31683974402507	0.253761003010819
1602.8188	"P28665"	"Murinoglobulin-1"	"Mug1"	12219000	3908900	4087100	6738333.33333333	4087100	-1.20008025736316	0.255388264215795
1059.5349	"E9PY46"	""	"Ift140"	5997900	1647600	675160	2773553.33333333	1647600	-0.65771398149731	0.539320544130097
1405.6739	"P56480"	"ATP synthase subunit beta, mitochondrial"	"Atp5b"	49553000	14183000	11174000	24970000	14183000	-1.23073317196864	0.304098828951136
840.52216	"A6H630"	"Protein-glutamate O-methyltransferase"	"Armt1"	24388000	9559300	3399300	12448866.6666667	9559300	-0.268890945749864	0.800057550548593
1848.9404	"Q9DAR7"	"m7GpppX diphosphatase"	"Dcps"	8159000	2755800	2162700	4359166.66666667	2755800	-0.858493857240011	0.434166404874257
1695.8614	"P27659"	"60S ribosomal protein L3"	"Rpl3"	35768000	16109000	6637500	19504833.3333333	16109000	-0.838131105079377	0.471426654420392
1710.8473	"Q68FD5"	"Clathrin heavy chain 1"	"Cltc"	11029000	9382400	4416500	8275966.66666667	9382400	-0.424634834085555	0.700162358723892
1718.786	"Q9DA69"	"Intraflagellar transport protein 43 homolog"	"Ift43"	2141400	4954500	2492700	3196200	2492700	-0.771707597565447	0.453524629895761
4247.0077	"P70302"	"Stromal interaction molecule 1"	"Stim1"	5802200	2453100	1074700	3110000	2453100	-0.544293960583584	0.616223614937958
1366.7027	"P09411"	"Phosphoglycerate kinase 1"	"Pgk1"	80788000	27966000	13000000	40584666.6666667	27966000	-0.268111878005025	0.798075989562829
1613.7897	"Q6NZC7"	"SEC23-interacting protein"	"Sec23ip"	24880000	10674000	4762100	13438700	10674000	-0.109599189874957	0.915677976712541
2767.364	"Q99MV1"	"Tudor domain-containing protein 1"	"Tdrd1"	14009000	4525800	1748500	6761100	4525800	-0.721600577021472	0.513218929673837
1097.5717	"O35490"	"Betaine--homocysteine S-methyltransferase 1;S-methylmethionine--homocysteine S-methyltransferase BHMT2"	"Bhmt;Bhmt2"	135800000	46016000	20436000	67417333.3333333	46016000	-4.49765642341793	0.000102084681651601
1515.8582	"A2ARZ3"	"Fibrous sheath-interacting protein 2"	"Fsip2"	0	1339100	325700	554933.333333333	325700	-0.826714190837147	0.422729047460511
1327.746	"P42932"	"T-complex protein 1 subunit theta"	"Cct8"	41086000	31464000	14614000	29054666.6666667	31464000	-0.176723894906288	0.863438330734763
1668.8471	"Q9DB07"	"Intraflagellar transport protein 46 homolog"	"Ift46"	7161600	3138300	1816100	4038666.66666667	3138300	-0.701422575543933	0.499585564019947
2204.9379	"D3YXK2"	"Scaffold attachment factor B1"	"Safb"	12147000	5905600	1909500	6654033.33333333	5905600	-0.236883495997677	0.825063238638925
978.49569	"Q64514"	"Tripeptidyl-peptidase 2"	"Tpp2"	787380	7497500	3111200	3798693.33333333	3111200	-0.381913818158098	0.718371730937748
1694.7644	"Q9JJ78"	"Lymphokine-activated killer T-cell-originated protein kinase"	"Pbk"	13475000	6421300	2748700	7548333.33333333	6421300	-0.333619855971054	0.748771635885389
753.37311	"Q99MD6"	"Thioredoxin reductase 3"	"Txnrd3"	11453000	6389100	2492200	6778100	6389100	-0.288420791284974	0.781954818442338
1990.0623	"Q3UM45"	"Protein phosphatase 1 regulatory subunit 7"	"Ppp1r7"	0	21387000	6122900	9169966.66666667	6122900	-0.018546589716462	0.987570000983846
833.4647	"Q9WUM3"	"Coronin-1B"	"Coro1b"	21116000	5693500	2653000	9820833.33333333	5693500	-0.557431093954322	0.632350355146619
951.54295	"P60521"	"Gamma-aminobutyric acid receptor-associated protein-like 2"	"Gabarapl2"	4935800	3649400	1721300	3435500	3649400	-0.281344031161634	0.78726717005099
1019.5288	"Q8BJU0"	"Small glutamine-rich tetratricopeptide repeat-containing protein alpha"	"Sgta"	6623800	4575000	2140100	4446300	4575000	-0.236146304435011	0.822932935082084
1587.7967	"Q6NZJ6"	"Eukaryotic translation initiation factor 4 gamma 1"	"Eif4g1"	17828000	6429800	1879600	8712466.66666667	6429800	-0.885540699038592	0.414134089245855
1141.6343	"Q8VC30"	"Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)"	"Dak"	48116000	36521000	12252000	32296333.3333333	36521000	-0.43689024537394	0.674105304001015
991.57023	"P30115"	"Glutathione S-transferase A3"	"Gsta3"	32046000	19669000	12411000	21375333.3333333	19669000	-0.535334709540828	0.60217109853182
1005.5859	"P10648"	"Glutathione S-transferase A2"	"Gsta2"	15349000	12306000	5899500	11184833.3333333	12306000	-0.104645469867534	0.91846118803477
813.47825	"P60843"	"Eukaryotic initiation factor 4A-I"	"Eif4a1"	20336000	12333000	6689700	13119566.6666667	12333000	-1.27656108262471	0.28530067456017
931.55312	"P09470"	"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form"	"Ace"	30739000	17599000	6011400	18116466.6666667	17599000	-0.0754764122488817	0.94221581246749
2087.0933	"P17710"	"Hexokinase-1"	"Hk1"	8471700	2761500	1198400	4143866.66666667	2761500	-0.0463971524110752	0.966075791763581
973.59605	"P61211"	"ADP-ribosylation factor-like protein 1"	"Arl1"	4590400	2748300	1131500	2823400	2748300	-0.264083727484787	0.800397404115599
1455.7205	"Q61584"	"Fragile X mental retardation syndrome-related protein 1"	"Fxr1"	24773000	8965700	3122600	12287100	8965700	-0.440125695362874	0.678200330101742
2209.0838	"Q80X50"	"Ubiquitin-associated protein 2-like"	"Ubap2l"	3234800	7506600	2874400	4538600	3234800	-0.903995408704016	0.397048822065082
884.53312	"Q9CR16"	"Peptidyl-prolyl cis-trans isomerase D"	"Ppid"	0	12031000	4714600	5581866.66666667	4714600	-0.131219593746023	0.909794452920875
842.48617	"Q05D44"	"Eukaryotic translation initiation factor 5B"	"Eif5b"	3389500	2989200	0	2126233.33333333	2989200	-0.508731850076582	0.632457861483078
814.47012	"Q8VC30"	"Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)"	"Dak"	48427000	31526000	12405000	30786000	31526000	-0.49962386031014	0.62919632274782
1711.9542	"Q61990"	"Poly(rC)-binding protein 2"	"Pcbp2"	48796000	17526000	7731600	24684533.3333333	17526000	-1.40467428426623	0.218652896255907
2692.2778	"Q78Y63"	"Phosducin-like protein 2"	"Pdcl2"	18128000	16468000	7282900	13959633.3333333	16468000	-0.918575052979993	0.377196859087083
1496.7657	"P00342"	"L-lactate dehydrogenase C chain"	"Ldhc"	762310000	677030000	313860000	584400000	677030000	-1.03038680723146	0.318444562351256
1210.7034	"Q99MV1"	"Tudor domain-containing protein 1"	"Tdrd1"	0	3036700	1484200	1506966.66666667	1484200	-0.060495339538948	0.954209983040305
1051.6026	"Q9WV27"	"Sodium/potassium-transporting ATPase subunit alpha-4"	"Atp1a4"	4857400	1579900	443460	2293586.66666667	1579900	-0.1368622827541	0.897960432522027
1742.874	"P09671"	"Superoxide dismutase [Mn], mitochondrial"	"Sod2"	66609000	22676000	13112000	34132333.3333333	22676000	-1.39621083523243	0.227283669758507
